date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:21	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Tue,%2018%20Feb%202025%2009:48:21%20GMT	http://sites.google.com/view/superprinciple	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/sites.google.com/view/superprinciple.0.delayed	(from )
11:48:23	81819/81819	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Feb%202025%2009:48:23%20GMT	https://sites.google.com/view/superprinciple	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/sites.google.com/view/superprinciple.html	(from )
11:48:23	85/85	---MCZ	200	added ('OK')	text/plain	date:Tue,%2018%20Feb%202025%2009:48:23%20GMT	https://sites.google.com/robots.txt		(from )
11:48:24	0/0	---M--	302	error ('Found')	application/binary	date:Tue,%2018%20Feb%202025%2009:48:24%20GMT	https://sites.google.com/view/POST	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/sites.google.com/view/POST.2.delayed	(from https://sites.google.com/view/superprinciple)
11:48:24	297036/297036	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/superprinciple)
11:48:24	14461/14461	---M--	200	added ('OK')	text/javascript	etag:%22d49e3440ad7b8d28%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/superprinciple)
11:48:25	81854/81854	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Feb%202025%2009:48:25%20GMT	https://sites.google.com/view/superprinciple/main	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/sites.google.com/view/superprinciple/main.html	(from https://sites.google.com/view/superprinciple)
11:48:25	115715/115715	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Feb%202025%2009:48:25%20GMT	https://sites.google.com/view/superprinciple/strike-sortie	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/sites.google.com/view/superprinciple/strike-sortie.html	(from https://sites.google.com/view/superprinciple)
11:48:26	65717/65717	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2009:48:26%20GMT	https://sites.google.com/view/superprinciple/POST	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/sites.google.com/view/superprinciple/POST.7.delayed	(from https://sites.google.com/view/superprinciple/main)
11:48:27	66034/66034	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2009:48:26%20GMT	https://sites.google.com/view/superprinciple/%22https://soundcloud.com/mykola-poroshyn%22	C:/Users/ITpunct.ro/Desktop/Files/MySite/www.superpositionprinciple.com/sites.google.com/view/superprinciple/_https_/soundcloud.com/mykola-poroshyn_.8.delayed	(from https://sites.google.com/view/superprinciple/strike-sortie)
